project_code,period,mo,project_name,sector,agency,state,exit_status,effective_cost,f_vel_mean,f_vel_last,f_vel_std,f_burn_mean,f_stall_share,f_stall_run,f_n_snapshots,f_n_doc_changes,f_n_cost_changes,f_n_antic_doc_changes,f_progress,f_fin_progress,f_progress_gap,f_age_mo,f_planned_mo,f_elapsed_share,f_months_past_doc,f_overdue,f_mo_remaining,f_required_vel,f_feasibility,f_is_cost_revised,f_is_sched_revised,f_cost_revision_pct,f_slip_days,f_antic_cost_gap_pct,f_antic_doc_gap_days,f_log_cost,y_cost_esc,y_time_esc,y_adverse
220100188,2025-01,24301,"NANGALDAM-TALWARA(NL),NR",RAILWAYS,NR,MULTI STATE,on_roster,450.0,9.7,0.0,12.93058390019569,59.39000000000001,0.4,2,6,1.0,0.0,1.0,70.0,330.6,260.6,526.0183968462549,375.9855453350854,1.3990388816076889,150.0328515111695,1,23.98160315374507,1.2509589041095892,7.754051686377572,0,1,0.0,5297.0,348.43555555555554,0.0,6.111467339502679,1,1,1
220100188,2025-03,24303,"NANGALDAM-TALWARA(NL),NR",RAILWAYS,NR,MULTI STATE,on_roster,450.0,8.083333333333334,0.0,12.224633600507897,57.10333333333333,0.5,3,7,1.0,0.0,2.0,70.0,350.8977777777778,280.8977777777778,527.9566360052562,375.9855453350854,1.4041939711664482,151.9710906701708,1,22.043363994743757,1.3609538002980626,5.939461965250402,0,1,0.0,5297.0,348.43555555555554,151.0,6.111467339502679,1,0,1
220100232,2024-07,24295,"LALITPUR-SATNA-REWA- SINGRULI NL, (NCR)",RAILWAYS,WCR,MULTI STATE,on_roster,247.66,,,,,,0,1,0.0,0.0,0.0,67.0,1009.5857223613018,942.5857223613018,309.9540078843627,115.9658344283837,2.6728045325779037,193.98817345597897,1,-193.98817345597897,,,0,0,0.0,0.0,3230.574174271178,6148.0,5.516086501524791,0,0,0
220100232,2024-09,24297,"LALITPUR-SATNA-REWA-SINGRULI NL, (NCR)",RAILWAYS,WCR,MULTI STATE,on_roster,63.57,-12.0,-12.0,,9.849999999999909,1.0,1,2,0.0,1.0,0.0,43.0,3964.196948246028,3921.196948246028,311.9908015768725,115.9658344283837,2.690368271954674,196.02496714848883,1,-196.02496714848883,,,1,0,-74.33174513445853,0.0,12875.460122699385,6148.0,5.516086501524791,0,0,0
220100232,2024-10,24298,"LALITPUR-SATNA-REWA-SINGRULI NL, (NCR)",RAILWAYS,WCR,MULTI STATE,on_roster,63.57,-6.0,0.0,8.48528137423857,4.9249999999999545,1.0,2,3,0.0,1.0,0.0,43.0,3964.196948246028,3921.196948246028,312.97634691195793,115.9658344283837,2.6988668555240793,197.01051248357425,1,-197.01051248357425,,,1,0,-74.33174513445853,0.0,12875.460122699385,6148.0,5.516086501524791,0,0,0
220100232,2024-12,24300,"LALITPUR-SATNA-REWA-SINGRULI NL, (NCR)",RAILWAYS,WCR,MULTI STATE,on_roster,63.57,-3.0,0.0,6.0,2.4624999999999773,1.0,4,5,0.0,1.0,0.0,43.0,3964.196948246028,3921.196948246028,314.98028909329827,115.9658344283837,2.7161473087818697,199.01445466491458,1,-199.01445466491458,,,1,0,-74.33174513445853,0.0,12875.460122699385,6148.0,5.516086501524791,0,0,0
220100232,2025-01,24301,"LALITPUR-SATNA-REWA-SINGRULI NL, (NCR)",RAILWAYS,WCR,MULTI STATE,on_roster,63.57,-2.4,0.0,5.366563145999495,1.9699999999999818,1.0,5,6,0.0,1.0,0.0,43.0,3964.196948246028,3921.196948246028,315.9986859395532,115.9658344283837,2.724929178470255,200.0328515111695,1,-200.0328515111695,,,1,0,-74.33174513445853,0.0,12875.460122699385,6148.0,5.516086501524791,0,1,1
220100232,2025-03,24303,"LALITPUR-SATNA-REWA- SINGRULI NL, (NCR)",RAILWAYS,WCR,MULTI STATE,on_roster,63.57,-2.0,0.0,4.898979485566356,1.6416666666666515,1.0,6,7,0.0,1.0,0.0,43.0,3964.196948246028,3921.196948246028,317.9369250985545,115.9658344283837,2.741643059490085,201.9710906701708,1,-201.9710906701708,,,1,0,-74.33174513445853,0.0,12875.460122699385,6148.0,5.516086501524791,0,1,1
220100240,2024-07,24295,"JAYANAGAR-DARBHANGA- NARKATIA GANJ(GC),ECR",RAILWAYS,ECR,BIHAR,completed,967.29,,,,,,0,1,0.0,0.0,0.0,99.0,126.92884243608432,27.928842436084324,326.97109067017084,178.97503285151117,1.8269089574155655,147.99605781865966,1,-147.99605781865966,,,1,0,197.87515782342248,0.0,29.22701568299062,4292.0,5.786068817343426,0,0,0
220100240,2024-09,24297,"JAYANAGAR-DARBHANGA-NARKATIA GANJ(GC),ECR",RAILWAYS,ECR,BIHAR,completed,967.29,0.0,0.0,,4.490000000000009,1.0,1,2,0.0,0.0,0.0,99.0,127.85720931675093,28.857209316750925,329.00788436268067,178.97503285151117,1.8382892804698971,150.0328515111695,1,-150.0328515111695,,,1,0,197.87515782342248,0.0,29.22701568299062,4292.0,5.786068817343426,0,0,0
