Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Date of Approval (MM/YYYY),Cost Original,Cost Revised,Cost Anticipated,Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated
HEALTH AND FAMILY WELFARE,1,500 BEDDED HOSPITAL INCLUDING 50 SUPERSPECIALITY BEDS FOR ESIC AT PUNE,CPWD,N21000033,MAHARASHTRA,7/2022,429.25,N.A.,429.25,9/2025,N.A.,9/2025
PETROLEUM,2,GURDASPUR JAMMU PIPELINE,GAIL,N16000531,MULTI STATE,7/2023,521.92,521.92,521.92,7/2026,Jul-26,7/2026
URBAN DEVELOPMENT,3,KOCHI METRO RAIL PROJECT PHASE II FROM JLN STADIUM TO INFOPARK VIA KAKKANAD,KMRCL,N28000158,KERALA,7/2018,1957.05,N.A.,1957.05,11/2026,N.A.,11/2026
URBAN DEVELOPMENT,4,KOCHI METRO RAIL PROJECT PHASE IB SECTION FROM S N JUNCTION TO THRIPUNITHURA,KMRCL,N28000159,KERALA,6/2019,355.7,448,448.33,9/2023,N.A.,N.A.
Grand Total,,,,,,,3263.92,-,3356.55,,,
