Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Original Cost in Rs. Crore,Date of Commissioning Original (MM/YYYY),Cumulative Expenditure in Rs. Crore
FINANCE,1,SRP OC-II EXPANSION PROJECT,SCCL,N06000173,TELANGANA,272.73,03/2018,269.65
RENEWABLE ENERGY,2,"C/O OF 152 NOS TYPE-II,304 NOS,TYPE-III,76 NOS, TYPE-IV QTRS. FOR INCOME TAX DEPARTMENT AT CHENNAI",CPWD FOR FINANC,N28000089,TAMIL NADU,209.00,10/2019,205.72
ROAD TRANSPORT AND HIGHWAYS,3,CONSTRUCTION OF ATAL AKSHAY URJA BHAWAN CGO COMPLEX LODHI ROAD NEW DELHI,CPWD R ENERGY,N28000118,DELHI,271.90,11/2019,329.49
HIGHWAYS,4,"DEVELOPMENT OF 4-LANING SECTION OF NH-31 FROM KM 551.36 (GHOSHPUKUR) TO KM 563.26 (BIHAR MORE, BAGDO",MoRTH,N24000883,WEST BENGAL,254.30,10/2020,197.33
HIGHWAYS,5,CONSTRUCTION OF 4-LANE BYPASS TO VIJAYANAGARAM TOWN ON NH43 (NEW NH26) FROM 537/6 TO 552/0 (RAIPUR-V,MoRTH,N24000933,ANDHRA PRADESH,429.43,11/2017,385.40
HIGHWAYS,6,REHABILITATION AND UPGRADATION OF NH326A FROM KM 0/0 TO 41/979 (EXCLUDING KM 2/255 TO 3/372 AND KM 3,MoRTH,N24000934,ANDHRA PRADESH,228.32,08/2018,176.26
HIGHWAYS,7,REHABILITATION AND UPGRADATION OF NEW NH-544E FROM KM. 0.000 TO KM 56.803 OF KODIKONDA - MADAKASIRA,MoRTH,N24000939,ANDHRA PRADESH,504.19,11/2018,516.39
HIGHWAYS,8,REHABILITATION AND UPGRADATION OF DHINDI- DIGAMARRU SECTION FROM KM126/510 TO KM135/740 OF NH214(NH21,MoRTH,N24000965,ANDHRA PRADESH,386.09,05/2016,266.29
HIGHWAYS,9,REHABILITATION AND UPGRADATION OF LOSARI- MACHAVARAM SECTION FROM KM34/230 TO KM84/550 OF NH214(NH216,MoRTH,N24000967,ANDHRA PRADESH,444.84,09/2016,423.36
HIGHWAYS,10,REHABILITATION UPGRADATION OF NH214(NH216) FROM KM41.161 TO KM59.800(GURJANAPALLI TO POLEKURU SECT,MoRTH,N24000966,ANDHRA PRADESH,348.95,08/2016,317.36
HIGHWAYS,11,REHABILITATION AND UPGRADATION OF MACHILIPATNAM TO AVANIGADDA SECTION FROM KM84/550 - 124/200 OF NH2,MoRTH,N24000968,ANDHRA PRADESH,376.25,08/2017,405.97
HIGHWAYS,12,REHABILITAITON AND UPGRADATION OF REPALLE TO EEPPURPALEM SECTION FROM KM 128/927 TO KM 195/000 OF NH,MoRTH,N24000970,ANDHRA PRADESH,576.48,01/2018,685.20
HIGHWAYS,13,4-LANNING OF END OF PANDOH BYPASS TAKOLI IN H.P,NHAI,N24000692,HIMACHAL PRADESH,"2,485.93",06/2020,"1,421.76"
HIGHWAYS,14,REHABILITATION AND UP GRADATION OF NH-544E FROM KM 56/803 TO KM 99/179 OF MADAKASIRA TO SIRA SECTION,MoRTH,N24001384,ANDHRA PRADESH,207.79,03/2021,177.96
HIGHWAYS,15,WIDENING AND STRENGTHENING TO TWO LANE WITH PAVED SHOULDERS FROM KM 491/000 TO KM 525/200 OF RAIPUR,MoRTH,N24001385,ANDHRA PRADESH,221.40,05/2021,171.44
HIGHWAYS,16,"WIDENING AND STRENGTHENING FROM KM.15.000 TO KM, 58.600 (BHADEWARA -DRAMANDGANJ SECTION) OF NATIONAL",MoRTH,N24001478,UTTAR PRADESH,257.97,05/2024,132.48
HIGHWAYS,17,4L OF KHEDAKHAJURIYA TO SUHAGADI FROM KM. 41.400 TO KM. 89.200 OF NH-148NG (PKG-II),NHAI,N24001757,MADHYA PRADESH,876.37,10/2024,370.28
HIGHWAYS,18,FORMATION OF BYPASS ROAD TO KADIRI TOWN FROM ON NH42,MoRTH,N24001930,ANDHRA PRADESH,220.66,09/2023,164.53
HIGHWAYS,,Total,,,,"8,572.60",,"6,616.87"
