State,Sector,Sl No,Project Name,Agency Name,Project Code,Date of Approval (MM/YYYY),Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated,Cost Original,Cost Revised,Cost Anticipated,Cumulative Expenditure in Rs. Crore,Physical Progress (%)
GUJARAT,RAILWAYS,435,SAMLAYA-TIMBA ROAD (53.53 KM),WR,N22000540,2/2023,3/2030,N.A.,10/2025,401.48,670.17,670.17,68.98,7
GUJARAT,RAILWAYS,436,SAMNI-JAMBUSAR (24.08 KM),WR,N22000541,5/2022,3/2030,Apr-25,4/2025,216.72,349.93,349.93,57.31,9
GUJARAT,RAILWAYS,437,VIJAPUR-AMBLIYASAN (41.53 KM),WR,N22000547,5/2022,3/2030,Feb-25,2/2025,309.81,415.38,415.38,198.38,60
GUJARAT,RAILWAYS,438,ADRAJ MOTI-VIAJAPUR (39.75 KM),WR,N22000548,5/2022,5/2030,N.A.,5/2030,296.54,N.A.,296.54,0,0
GUJARAT,RAILWAYS,439,KALOL-KADI-KATOSAN ROAD (37.23 KM),WR,N22000549,6/2022,6/2027,Aug-24,8/2024,279.23,346.94,346.94,147.86,87
GUJARAT,RAILWAYS,440,NEW BG LINE BETWEEN NALIYA- JAKHAU PORT,WR,N22000550,2/2023,1/2028,Sep-26,9/2026,410.46,410.46,410.46,10.18,0
GUJARAT,RAILWAYS,441,NEW BG LINE INTERSECTION (5 NOS) BETWEEN GERATPUR- SANAND & BOTAD-AHMEDABAD (16.51 KM) (PB#29/NR/202,WR,N22000551,10/2022,10/2027,N.A.,10/2027,437.21,N.A.,437.21,0,0
GUJARAT,RAILWAYS,442,TARANGA HILL ABU ROAD VIA AMBAJI NEW LINE,NWR,N22000592,7/2022,7/2030,N.A.,12/2026,1695.82,N.A.,2798.16,624.92,8
GUJARAT,RAILWAYS,443,JUNAGARH -VISAVADAR (42.28) KM,RVNL,N22000600,6/2022,12/2026,N.A.,12/2026,492.83,N.A.,492.83,0,0
GUJARAT,RAILWAYS,444,MODASA- SHAMLAJI NEW LINE ( MM OF AHMEDABAD- HIMMATNAGAR-UDAIPUR (299.2 KM)),WR,N22000622,9/2012,3/2027,Mar-25,3/2025,261.68,261.68,261.68,180.87,30
GUJARAT,RAILWAYS,445,NATHDWARA-NEW NATHDWARA NEW LINE ( MM OF AJMER- CHITTAURGARH-UDAIPUR),WR,N22000623,6/2013,6/2025,N.A.,6/2025,166.33,N.A.,166.33,50.58,18
GUJARAT,ROAD TRANSPORT AND,446,FOUR LANING OF BHAVNAGAR- TALAJA SECTION OF NH-8E FROM KM. 7.090 TO KM. 53.585 (DESIGN CH FROM KM. 6.,NHAI,N24000567,5/2016,8/2019,N.A.,2/2024,998.18,N.A.,998.18,802.04,100
GUJARAT,ROAD TRANSPORT AND,447,FOUR LANING OF KAGAVADAR - UNA SECTION OF NH-8E FROM KM 139.915 TO KM 180.478 (PACKAGE-IV) IN THE ST,NHAI,N24000569,5/2016,9/2019,May-24,10/2024,723.64,N.A.,723.64,559.44,95.98
GUJARAT,ROAD TRANSPORT AND,448,FOUR LANING OF UNA TO KODINAR OF NH-8E FROM KM. 180.478 TO KM 221.610 (PACKAGE-V) IN THE STATE OF GU,NHAI,N24000570,5/2016,8/2019,N.A.,7/2024,763.08,N.A.,763.08,505.35,94.05
GUJARAT,ROAD TRANSPORT AND,449,4-LANNING OF KODINAR TO VERAVAL SECTION OF NH-8E FROM KM 221.610 TO KM 263.000,NHAI,N24000592,7/2016,7/2020,N.A.,10/2024,829.97,N.A.,829.97,449.25,92.2
GUJARAT,ROAD TRANSPORT AND,450,SIX LANNING FROM KM. 401.200 TO 494.410 OF NH-8 ON HYBRID ANNUITY MODE UNDER NHDP- V(PKG VI)REG.,NHAI,N24000649,1/2017,12/2020,Jun-25,6/2025,1251.11,1527.75,1527.75,683.63,83.84
GUJARAT,ROAD TRANSPORT AND,451,CONSTRUCTION OF EIGHT LANE VADODARA KIM EXPRESSWAY FROM KM 254.430 TO KM 279.000 (KIM TO ANKLESHWAR,NHAI,N24000834,3/2018,10/2021,Sep-24,9/2024,1161.39,1404,1404,418.51,39.17
GUJARAT,ROAD TRANSPORT AND,452,CONSTRUCTION OF MISSING LINKS (SINGLE LANE) IN LAKHPAT GADULI HAJIPIR ODMA KHAVDA DHOLAVIRA MAUVANA,MoRTH,N24000925,10/2018,11/2020,Sep-24,9/2024,400.76,394.44,394.44,287.39,87
GUJARAT,ROAD TRANSPORT AND,453,CONSTRUCTION OF ROB WITH APPROACHES IN LIEU OF L C NO 165 OF AHMEDABAD PALANPUR BETWEEN RAILWAY STAT,MoRTH,N24001427,6/2020,4/2023,Sep-24,9/2024,166.21,N.A.,166.21,98.65,93
GUJARAT,ROAD TRANSPORT AND,454,CONSTRUCTION OF FOUR LANE EXPRESSWAY FROM START OF SARDAR PATEL RING ROAD TO SINDHREJ VILLAGE (CH. 0,NHAI,N24001443,5/2020,3/2024,Aug-24,9/2024,690.3,929.95,929.95,683.63,76.8
GUJARAT,ROAD TRANSPORT AND,455,CONSTRUCTION OF FOUR LANE EXPRESSWAY FROM START OF SINDHREJ VILLAGE (CH. 22.00 TO CH. 48.52) SECTION,NHAI,N24001444,5/2020,1/2024,Aug-24,10/2024,882,N.A.,882,737.57,70.6
GUJARAT,ROAD TRANSPORT AND,456,CONSTRUCTION OF FOUR LANE EXPRESSWAY FROM START OF VEJALLKA VILLAGE TO START OF DSIR ZONE OF AHMEDAB,NHAI,N24001445,5/2020,7/2023,Aug-24,8/2024,691.52,903.85,903.85,699.69,81.5
GUJARAT,ROAD TRANSPORT AND,457,CONSTRUCTION OF FOUR LANE EXPRESSWAY FROM START OF DSIR ZONE OF AHMEDABAD DISTRICT TO ADHELAI VILLAG,NHAI,N24001446,5/2020,12/2023,Aug-24,8/2024,894,1210.06,1210.06,833.4,76.96
GUJARAT,ROAD TRANSPORT AND,458,DELHI VADODARA GREENFIELD ALIGNMENT SECTION OF NH 148N PACKAGE 26,NHAI,N24001515,9/2020,2/2024,N.A.,1/2025,1542.02,N.A.,1542.02,700.09,45.61
GUJARAT,ROAD TRANSPORT AND,459,DELHI VADODARA GREENFIELD ALIGNMENT SECTION OF NH 148N PACKAGE 27,NHAI,N24001516,9/2020,2/2024,Aug-24,8/2024,1185.69,N.A.,1185.69,817.78,78.36
GUJARAT,ROAD TRANSPORT AND,460,DELHI VADODARA GREENFIELD ALIGNMENT SECTION OF NH 148N PACKAGE 30,NHAI,N24001518,11/2019,9/2023,N.A.,10/2024,1669.56,N.A.,1669.56,944.75,87.09
GUJARAT,ROAD TRANSPORT AND,461,DELHI VADODARA GREENFIELD ALIGNMENT SECTION OF NH 148N PACKAGE 28,NHAI,N24001519,9/2020,11/2023,N.A.,9/2024,1198.55,N.A.,1198.55,791.21,85.29
GUJARAT,ROAD TRANSPORT AND,462,DELHI VADODARA GREENFIELD ALIGNMENT SECTION OF NH 148N PACKAGE 31,NHAI,N24001520,11/2019,5/2024,N.A.,11/2024,1604.06,N.A.,1604.06,1219.1,95.73
GUJARAT,ROAD TRANSPORT AND,463,UP-GRADATION TO 4-LANE WITH PAVED SHOULDER OF BHIMASAR JUNCTION OF NH-41 TO ANJAR BHUJ UPTO AIRPORT,NHAI,N24001785,3/2022,6/2025,N.A.,6/2025,1373.06,1085,1373.06,435.81,58.59
GUJARAT,ROAD TRANSPORT AND,464,CONSTRUCTION OF EIGHT LANE ACCESS CONTROLLED EXPRESSWAY FROM KM 103.400 TO KM 128.000 OF VADODARA MU,NHAI,N24001786,3/2021,3/2024,N.A.,3/2025,1259,N.A.,1910,137.93,15.02
GUJARAT,ROAD TRANSPORT AND,465,CONSTRUCTION OF EIGHT LANE ACCESS CONTROLLED EXPRESSWAY FROM KM 217.500 TO KM 254.430 OF VADODARA MU,NHAI,N24001788,7/2020,12/2023,N.A.,6/2024,2271.86,N.A.,3916,518.25,74.55
GUJARAT,ROAD TRANSPORT AND,466,CONSTRUCTION OF EIGHT LANE EXPRESSWAY FROM KM 190.000 TO KM 217.500 GANDEVA TO ENA SECTION OF VADODA,NHAI,N24001789,7/2020,8/2023,N.A.,6/2024,1710.3,N.A.,1927,362.81,68.11
GUJARAT,ROAD TRANSPORT AND,467,SANCHORE - SANTALPUR FROM KM 67.000- KM 99.000 OF NH- 754K (AJ-RGBS-PACKAGE-3),NHAI,N24001790,2/2020,8/2023,Dec-24,8/2024,752.3,N.A.,766.2,451.11,98.14
GUJARAT,ROAD TRANSPORT AND,468,SANCHORE - SANTALPUR FROM KM 4.888 - KM 35.000 OF NH-754K (AJ-RGBS-PACKAGE-1),NHAI,N24001791,2/2020,6/2023,Mar-24,5/2024,606.51,N.A.,657,453.89,98.99
GUJARAT,ROAD TRANSPORT AND,469,4L OF BAL WORKS OF TALAJA - MAHUVA FROM 54.990 KM. TO 100.450 KM. OF OLD NH-8E (PACKAGE-II),NHAI,N24001792,3/2021,9/2022,N.A.,8/2024,536.03,N.A.,536.03,444.87,97.41
GUJARAT,ROAD TRANSPORT AND,470,4L OF BAL WORKS OF MAHUVA TO KAGVADAR FROM 100.450 KM. TO 140.470 KM. OF NH-8E (PKG- III),NHAI,N24001793,3/2021,9/2022,N.A.,8/2024,485.75,N.A.,485.75,380.69,97.01
GUJARAT,ROAD TRANSPORT AND,471,SANCHORE - SANTALPUR FROM KM 99.000- KM 130.073 OF NH- 754K (AJ-RGBS-PACKAGE-4),NHAI,N24001794,2/2020,3/2023,Dec-24,8/2024,778.15,N.A.,785.67,539.42,99.24
GUJARAT,ROAD TRANSPORT AND,472,4L KODINAR - VERAVAL (PACKAGE VI) FROM KM. 222.400 TO KM. 230.00 (KODINAR BYPASS) OF NH-8E (NH 51 NE,NHAI,N24001827,3/2022,3/2023,N.A.,7/2024,162.73,N.A.,162.73,131.79,95.3
GUJARAT,ROAD TRANSPORT AND,473,UPGRADATION AND STRENGTHENING TO 2 LANE PS FROM KM 95/500 TO KM 129/775 OF NH 168 G IDAR BHILODA SA,MoRTH,N24002014,9/2022,12/2023,Dec-25,12/2025,237.28,N.A.,237.28,0.59,0
GUJARAT,ROAD TRANSPORT AND,474,UPGRADATION TO 4L PS DIVIDED CARRIAGEWAY FROM PATAN (NEAR RAJPUR) TO GOJARIYA FROM KM 52.000 TO KM 1,NHAI,N24002034,12/2021,3/2025,N.A.,3/2025,1181.34,1181,1181.34,307.69,45.22
GUJARAT,ROAD TRANSPORT AND,475,WIDENING TO 6L OF EXISTING 4L JETPUR - GONDAL - RAJKOT SECTION FROM KM. 117.600 TO KM. 185.00 ON NH-,NHAI,N24002035,9/2023,9/2025,N.A.,9/2025,2070.44,N.A.,2070.44,130.84,8.5
GUJARAT,ROAD TRANSPORT AND,476,UPGRADATION OF DHORAJI JAMKANDORNA KALAVAD SECTION OF NH 927D FROM DESIGN CHAINAGE KM 00 TO KM 58.11,MoRTH,N24002117,10/2022,2/2024,Feb-26,2/2026,246.6,291,291,29.33,15
GUJARAT,ROAD TRANSPORT AND,477,UPGRADATION TO TWO LANE WITH PAVED SHULDER CONFIGUARATION FROM KM 00 TO 47 OF NH 351 MAHUVA TO BADHA,MoRTH,N24002118,12/2022,2/2024,Aug-25,8/2025,173.06,N.A.,219,0.15,0
GUJARAT,URBAN DEVELOPMENT,478,AHMEDABAD METRO RAIL PROJECT PHASE 1,MEGA,N28000122,11/2014,12/2018,N.A.,8/2024,10773,N.A.,12924.55,12265.77,99.75
GUJARAT,URBAN DEVELOPMENT,479,AHMEDABAD METRO RAIL PROJECT PHASE II,MEGA,N28000137,3/2019,3/2024,N.A.,12/2024,5384.17,N.A.,5384.17,3247.55,69.86
GUJARAT,URBAN DEVELOPMENT,480,SURAT METRO RAIL PROJECT,MEGA,N28000138,3/2019,3/2024,N.A.,10/2025,12020.32,N.A.,12020.32,5116.18,49.9
HARYANA,HEALTH AND FAMILY WELFARE,481,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES AT MANETHI, HARYANA.",HITES,N21000032,3/2019,3/2023,Mar-26,3/2026,1294.34,1294.34,1294.34,97.69,1.66
HARYANA,HOME AFFAIRS,482,"C/o separate family accommodation (Phase-I) on EPC basis for SSB at Faridabad (Haryana)""",CPWD FOR MHA,N28000147,1/2020,10/2023,Oct-24,10/2024,166.98,167,166.98,98.45,85
HARYANA,PETROLEUM,483,R and D CAMPUS II AT FARIDABAD,IOCL,N16000375,6/2019,12/2022,Jul-25,7/2025,2281.94,3219.94,3219.94,1524.66,59.7
HARYANA,PETROLEUM,484,CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA,IOCL,N16000412,2/2021,9/2024,Dec-25,12/2025,34627,38231,38231,12342.72,68.1
HARYANA,PETROLEUM,485,POLY BUTADIENE RUBBER PLANT AT PANIPAT,IOCL,N16000458,3/2022,3/2025,N.A.,12/2025,1459,2102.79,2102.79,297.12,34.6
HARYANA,RAILWAYS,486,DOUBLING BETWEEN BHIWANI- DOBH BAHALI,NWR,N22000604,2/2023,2/2028,N.A.,2/2026,471.06,N.A.,471.06,28.54,15
HARYANA,RAILWAYS,487,DOUBLING BETWEEN REWARI- KATHUWAS (27.73 KM),NWR,N22000606,2/2023,6/2027,N.A.,6/2025,352.41,N.A.,352.41,20.25,3
HARYANA,ROAD TRANSPORT AND,488,CONSTRUCTION OF 8 LANE DWARKA EXPRESSWAY (NH- 248BB PACKAGE IV FROM RAIL OVER BRIDGE (ROB) TILL END P,NHAI,N24000835,3/2018,12/2020,Dec-24,3/2024,1484.3,N.A.,2182.41,1237.02,100
HARYANA,ROAD TRANSPORT AND,489,"CONSTRUCTION OF 4-LANE NH- 344P-PACKAGE-4 (FROM KM 0+000 TO KM 29+600, 29.6KM), STARTING FROM BAWANA",NHAI,N24001532,11/2021,11/2023,Jan-24,8/2024,694,1918,1500,1682.82,99.2
HARYANA,ROAD TRANSPORT AND,490,CONSTRUCTION OF 4-LANE GREEN FIELD DELHI-AMRITSAR- KATRA EXPRESSWAY (NE-05) FROM JUSSUR KHERI ON KMP,NHAI,N24001533,11/2020,12/2023,N.A.,10/2024,1690.23,N.A.,2010.17,1206.08,92.5
HARYANA,ROAD TRANSPORT AND,491,CONSTRUCTION OF FOUR-LANE GREENFIELD DELHI-AMRITSAR- KATRA EXPRESSWAY FROM JUNCTION WITH ROHTAK-PANIP,NHAI,N24001534,12/2020,1/2024,Apr-24,8/2024,1334.04,N.A.,1334,923.3,90.85
HARYANA,ROAD TRANSPORT AND,492,4-LANING OF GOHANA-SONIPAT (PKG-2) SECTION FROM KM 40.601 TO KM 78.837 (LENGTH = 38.236KM) OF NH-352,NHAI,N24001535,7/2020,7/2022,May-24,10/2024,899,1882.46,1882.46,1123.98,90.95
HARYANA,ROAD TRANSPORT AND,493,FOUR LANING OF JIND GOHANA GREENFIELD ALIGNMENT PACKAGE 1 IN THE STATE OF HARYANA UNDER HYBRID ANNUI,NHAI,N24001536,7/2020,7/2022,N.A.,10/2024,817,1605,1605,1025.56,94.4
HARYANA,ROAD TRANSPORT AND,494,CONSTRUCTION OF FOUR LANE GREENFIELD PROJECT OF DELHI-AMRITSAR-KATRA EXPRESSWAY (PHASE-I PKG-III) F,NHAI,N24001633,12/2020,12/2023,Jun-24,6/2024,1430.88,N.A.,1430.88,1015.47,94.75
HARYANA,ROAD TRANSPORT AND,495,CONSTRUCTION OF FOUR LANE GREENFIELD PROJECT OF DELHI-AMRITSAR-KATRA EXPRESSWAY (PHASE-I PKG-IV) FRO,NHAI,N24001634,1/2021,12/2023,Oct-24,10/2024,1306.95,N.A.,1306.95,942.24,94.41
HARYANA,ROAD TRANSPORT AND,496,4 LANING OF JAGADHRI TAJEWALA ROAD SECTION OF NH 907 (OLD NH 73A) UNDER NH(O) (PKG 1) IN THE STATE O,NHAI,N24001635,3/2022,2/2025,N.A.,2/2025,1269.5,N.A.,1269.5,167,43
HARYANA,ROAD TRANSPORT AND,497,SIX LANNING OF MANDI DABWALI (PUNJAB/HARYANA BORDER)- CHAUTALA ROAD SECTION FROM PROPOSED MANDI DABW,NHAI,N24001672,1/2021,1/2024,Apr-24,4/2024,864.27,864,864.27,533.44,99.96
HARYANA,ROAD TRANSPORT AND,498,4- LANING OF ROHTAK-JIND SECTION FROM KM. 307+000 TO KM. 347+800 OF NH-71 AND CONNECTING LINK FROM K,NHAI,N24001673,3/2020,3/2023,Nov-24,11/2024,510.97,N.A.,510.97,529,86.7
HARYANA,ROAD TRANSPORT AND,499,CONSTRUCTION OF GURGAON - PATAUDI - REWARI SECTION OF NH-352W (DESIGN LENGTH 46.11 KM) AS FEEDER ROU,NHAI,N24001774,12/2020,11/2023,N.A.,6/2024,1524.03,N.A.,1524.03,1059.96,55.2
HARYANA,ROAD TRANSPORT AND,500,CONSTRUCTION OF PROPOSED REWARI BYPASS (DESIGN LENGTH 14.4 KM) NH-11 AS A FEEDER ROUTE IN THE STATE,NHAI,N24001775,2/2020,1/2023,Dec-24,12/2024,808.31,N.A.,958,804.26,99
HARYANA,ROAD TRANSPORT AND,501,DWARKA EXPRESSWAY PKG-III (DELHI/HR BORDER TO START OF ROB GURUGRAM),NHAI,N24001780,1/2018,11/2020,Dec-24,3/2024,2228,N.A.,2228,1411.27,100
HARYANA,ROAD TRANSPORT AND,502,CONSTRUCTION OF 8LANE EXPRESSWAY NE4 STARTING BEFORE KMP EXPRESSWAY AND ENDS AT CH. 47+000 NEAR KHAN,NHAI,N24001783,11/2018,9/2021,N.A.,8/2024,2252.75,N.A.,2252.75,1223.07,99.95
HARYANA,ROAD TRANSPORT AND,503,CONSTRUCTION OF EIGHT LANE EXPRESSWAY STARTING AT CH. 47+000 NEAR KHANPUR GHATI AND ENDS AT HARYANA,NHAI,N24001784,11/2018,9/2021,N.A.,8/2024,1935.61,N.A.,1935.61,856.41,99.9
HARYANA,ROAD TRANSPORT AND,504,UPGRADATION OF EXISTING 4 LANE ISMAILABAD-AMBALA SECTION (KM. 0+000 TO KM 42+500) (PART OF AMBALA-KO,NHAI,N24002037,1/2023,12/2025,N.A.,12/2025,609.32,609,609,38.09,15
HARYANA,ROAD TRANSPORT AND,505,CONSTRUCTION OF 6-LANE GREENFIELD KARNAL RING ROAD STARTING FROM NH-44 NEAR VILLAGE SHAMGARH (DESIGN,NHAI,N24002038,11/2022,8/2025,N.A.,8/2025,1691.45,1998,1998,590.5,22
HARYANA,ROAD TRANSPORT AND,506,CONSTRUCTION OF 6-LANE GREENFIELD AMBALA RING ROAD STARTING FROM JUNCTION WITH SHAMLI- AMBALA SECTION,NHAI,N24002039,2/2023,10/2025,N.A.,10/2025,1088.64,1178,1178,316.25,27.23
HARYANA,ROAD TRANSPORT AND,507,DEVELOPMENT OF SIX-LANE ACCESS CONTROLLED HIGHWAY FROM RANIPUR BARSI (SAHARANPUR DISTRICT) TO ADHOYA,NHAI,N24002040,4/2022,5/2025,N.A.,5/2028,1554.21,N.A.,1554.21,385.25,35
HARYANA,ROAD TRANSPORT AND,508,DEVELOPMENT OF SIX-LANE ACCESS CONTROLLED HIGHWAY FROM ADHOYA MUSALMANA (AMBALA DISTRICT) TO SADOPUR,NHAI,N24002041,4/2022,5/2025,N.A.,5/2025,1491.71,N.A.,1491.71,586.2,33
HARYANA,ROAD TRANSPORT AND,509,CONSTRUCTION OF 4-LANING OF BHIWANI HANSI ROAD SECTION OF NH 148B (DESIGN LENGTH 42.934 KM) UNDER BH,NHAI,N24002042,11/2022,12/2025,N.A.,12/2025,1322.13,N.A.,1322.13,38.5,33.54
HARYANA,ROAD TRANSPORT AND,510,CONSTRUCTION OF 4-LANE GREENFIELD JALBEHRA - SHAHBAD SECTION OF NH ? 152G FROM KM 0+000 TO KM 22+850,NHAI,N24002043,3/2022,6/2025,N.A.,6/2025,927.22,N.A.,927.22,352.51,49.67
HARYANA,ROAD TRANSPORT AND,511,4L AMBALA - KALAAMB FROM KM. -0.800 TO KM. 33.015 OF OLD NH-72,NHAI,N24002044,6/2023,6/2025,N.A.,6/2025,629.16,N.A.,629.16,106,66
HARYANA,ROAD TRANSPORT AND,512,6L ACCESS CONTROLLED HIGHWAY FROM JN WITH JAITPUR PUSHTA ROAD TO JN WITH SECTOR 62/65 DIVIDING ROAD,NHAI,N24002047,5/2020,8/2023,N.A.,9/2024,1328.07,2346,2346,1078.73,94.41
HARYANA,ROAD TRANSPORT AND,513,CONSTRUCTION OF GREENFIELD CONNECTIVITY TO JEWAR INTERNATIONAL AIRPORT FROM DND FARIDABAD BALLABHGAR,NHAI,N24002048,7/2022,6/2025,N.A.,6/2025,2414.67,2898,2898,951.92,20.8
HIMACHAL PRADESH,DEPARTMENT OF HIGHER EDUCATION,514,ESTABLISHMENT OF PERMANENT CAMPUS PHASE 1 OF IIM SIRMAUR,CPWD EDUCATION,N42000008,9/2018,6/2022,Dec-24,4/2024,392.51,N.A.,446.43,292.46,87
HIMACHAL PRADESH,DEPARTMENT OF HIGHER EDUCATION,515,CONSTRUCTION OF PERMANENT CAMPUSES OF CENTRAL UNIVERSITY OF HIMACHAL PRADESH AT DEHRA AND DHARAMSHAL,CPWD,N42000011,3/2021,8/2022,Nov-24,11/2024,512.37,512.37,512.37,90.51,48
HIMACHAL PRADESH,HEALTH AND FAMILY WELFARE,516,CONSTRUCTION OF 300 BEDDED HOSPITAL AND TEACHING BLOCK IN DR YS PARMAR GMC AT NAHAN HIMACHAL PRADESH,CPWD FOR HEALTH,N28000127,12/2018,6/2021,Aug-26,8/2026,260,371.78,371.78,46.24,7
HIMACHAL PRADESH,POWER,517,PARBATI HEP (4X200 MW) (NHPC) II,NHPC,180100210,9/2002,9/2009,N.A.,12/2024,3919.59,N.A.,12160,11705.29,97.73
HIMACHAL PRADESH,POWER,518,LUHRI HYDROELECTRIC PROJECT (STAGE1),SJVN,N18000279,11/2020,1/2026,N.A.,1/2026,1810.56,N.A.,1810.56,1493.14,50.99
HIMACHAL PRADESH,POWER,519,DHAULASIDH HYDROELECTRIC PROJECT (66 MW),SJVN,N18000291,10/2020,11/2025,N.A.,11/2025,687.97,N.A.,687.97,665.17,59.09
HIMACHAL PRADESH,POWER,520,SUNNI DAM HYDRO ELECTRIC PROJECT,SJVN,N18000344,1/2023,4/2028,N.A.,4/2028,2614.51,N.A.,2614.51,705.68,23.86
HIMACHAL PRADESH,RAILWAYS,521,BHANUPALI-BILASPUR BERI NL,RVNL,N22000273,4/2008,12/2026,N.A.,3/2025,2966.99,N.A.,6753.42,5190.99,0
HIMACHAL PRADESH,ROAD TRANSPORT AND,522,FOUR LANNING OF NERCHOWK- PANDOH BYPASS SECTION OF NH-21(PACKAGE-I KM 190.000 TO KM 221.305) UNDER NH,NHAI,N24000613,9/2016,7/2020,N.A.,8/2024,1273.71,N.A.,1478.61,1383,90.39
HIMACHAL PRADESH,ROAD TRANSPORT AND,523,"FOUR LANING OF SOLAN- KAITHLIGHAT SECTION OF NH- 22 (NOW NH-5) FROM KM 106.139 TO KM 129.050, ON EPC M",NHAI,N24000852,3/2018,5/2021,Dec-24,12/2024,478.74,N.A.,1514.46,1349.59,83
HIMACHAL PRADESH,ROAD TRANSPORT AND,524,REHABILITATION AND UPGRADATION TO 2-LANE/2- LANE WITH PAVED SHOULDERS/4-LANE CONFIGURATION OF PAONTA,MoRTH,N24001381,8/2020,4/2021,N.A.,6/2024,272.98,N.A.,272.98,132.82,97
HIMACHAL PRADESH,ROAD TRANSPORT AND,525,REHABILITATION AND UPGRADATION TO 2-LANE CONFIGURATION OF HEWNA- ASHYARI SECTION (KM 25.000 TO KM 50.,MoRTH,N24001382,8/2020,3/2021,N.A.,7/2024,242.8,N.A.,242.8,81.08,82
HIMACHAL PRADESH,ROAD TRANSPORT AND,526,REHABILITATION AND UPGRADATION TO INTERMEDIATE LANE CONFIGURATION OF SHRI KYARI- GUMMA SECTION (KM 75,MoRTH,N24001383,8/2020,4/2021,N.A.,4/2021,349.2,N.A.,349.2,239.34,100
HIMACHAL PRADESH,ROAD TRANSPORT AND,527,REHABILITATION AND UPGRADATION TO 2-LANE CONFIGURATION OF ASHYARI- SHRI KYARI SECTION (KM 50.000 TO K,MoRTH,N24001422,2/2021,9/2021,N.A.,7/2024,345.89,N.A.,345.89,147.63,80
HIMACHAL PRADESH,ROAD TRANSPORT AND,528,REHABILITATION AND UPGRADATION TO 2-LANE CONFIGURATION OF HAMIRPUR- KARNOHAL SECTION (KM 141.000 TO K,MoRTH,N24001447,8/2020,12/2024,N.A.,12/2024,371.93,N.A.,371.93,30.75,12.5
HIMACHAL PRADESH,ROAD TRANSPORT AND,529,REHABILITATION AND UPGRADATION TO 2-LANE CONFIGURATION OF KALWAHAN- MANDI SECTION (KM 208.950 TO KM 2,MoRTH,N24001470,8/2020,4/2025,N.A.,4/2025,314.32,N.A.,314.32,9.45,0
HIMACHAL PRADESH,ROAD TRANSPORT AND,530,REHABILITATION AND UPGRADING FROM 2 L TO 4 L FROM BHANGBAR(NEAR RANITAL) TO KANGRA BYPASS SECTION OF,NHAI,N24001808,3/2021,12/2024,Dec-24,12/2024,1322.95,1442.47,1442.47,761.69,75.87
HIMACHAL PRADESH,ROAD TRANSPORT AND,531,CONVERSION OF PARTIALLY EXCAVATED ESCAPE TUNNEL TO UNIDIRECTIONAL TWO LANE TUNNEL (INCLUDING CONSTRU,NHAI,N24001809,5/2022,3/2024,Dec-24,12/2024,469.95,N.A.,280,265.33,94.09
HIMACHAL PRADESH,ROAD TRANSPORT AND,532,4L SUNDER NAGAR BYPASS FROM KM173.900 TO KM 179.600 OF NH-21 IN THE STATE OF HP,NHAI,N24001810,2/2022,6/2024,N.A.,6/2024,190.6,N.A.,163,103.48,100
HIMACHAL PRADESH,ROAD TRANSPORT AND,533,4L OF MO - SIHUNI FROM KM. 42.00 TO KM. 51.00 OF OLD NH- 20 (NEW NH-154) (PACKAGE-IB),NHAI,N24001811,4/2021,6/2024,N.A.,9/2024,583.93,704.3,704.3,144.68,97.06
HIMACHAL PRADESH,ROAD TRANSPORT AND,534,4L OF HP/PUNJAB BO4L OF HP/PUNJAB BORDER - MO FROM KM. 11.00 TO KM. 42.00 OF OLD NH-20 (NEW NH-154),NHAI,N24001812,3/2021,5/2024,N.A.,12/2025,1002.11,1361.79,1361.79,188.74,40.9
HIMACHAL PRADESH,ROAD TRANSPORT AND,535,4L OF END OF PINJORE BYPASS - BADDI - NALAGARH SECTION (KM. 4.200 TO KM. 35.370) OF NH21A,NHAI,N24001813,7/2021,9/2024,N.A.,9/2024,1692.05,N.A.,1692.05,942.14,21.6
HIMACHAL PRADESH,ROAD TRANSPORT AND,536,IMPROVEMENT/CONSTRUCTION OF EXISTING CLASS-5 ROAD TO NH INTERMEDIATE LANE SPECIFICATION WITH HARD SH,BRO,N24001915,3/2021,6/2026,N.A.,6/2026,230.54,N.A.,230.54,0,19
HIMACHAL PRADESH,ROAD TRANSPORT AND,537,IMPROVEMENT/CONSTRUCTION OF EXISTING CLASS 5 ROAD TO NH INTERMEDIATE LANE SPECIFICATION WITH HARD SH,BRO,N24001916,3/2021,5/2026,N.A.,5/2026,314.67,N.A.,314.67,0,22
HIMACHAL PRADESH,ROAD TRANSPORT AND,538,PKG NAME: 4L OF KATHLIGHAT TO SHAKRAL VILLAGE FROM KM 128.835 TO KM 146.300 OF NH- 5 (SHIMLA BYPASS,NHAI,N24002049,3/2022,4/2026,N.A.,4/2026,1703.48,2278,2278,651.98,14.5
HIMACHAL PRADESH,ROAD TRANSPORT AND,539,REHABILITATION AND UPGRADATION TO 4L CONFIGURATION and STRENGTHENING OF SIHUNI TO RAJOL FROM KM 51.0,NHAI,N24002050,2/2022,9/2025,N.A.,9/2025,696.65,698.46,698.46,289.09,30.2
