57,4 LANING OF BATHALAPALLI TO MUDIGUBBA SECTION (DESIGN CHAINAGE KM. 96.300 TO 129.300) INCLUDING BATH (MoRTH) (N24001931),3/2022,2/2025,N.A.,{2/2025},536.00 | (N.A.) | {536.00},393.81,,,92,,
58,2L+PS FROM KM. 0+000 TO KM. 32+000 (MUDIGUBBA TO PUTTAPARTHI) OF NH- 342 (MoRTH) (N24001932),3/2022,9/2024,N.A.,{9/2024},401.72 | (N.A.) | {401.72},162.11,,,65.45,,
59,MULAKALACHERUVU TO MADANAPALLE SECTION OF NH42 FROM KM 202.050 TO KM 245.640 EXCLUDING RETAINED STRE (MoRTH) (N24001933),12/2021,12/2024,N.A.,{12/2024},480.10 | (N.A.) | {480.10},443.87,,,78,,
60,NH440 RAYACHOTY TOVEMPALLI 2LPS (MoRTH) (N24001934),12/2021,5/2024,N.A.,{5/2024},439.82 | (N.A.) | {439.82},193.63,,,27,,
61,4 LANE WITH PAVED SHOULDER FROM KM 0.000 TO KM 51.119 OF TADIPATRI TO MUDDANUR OF NH67 (MoRTH) (N24001935),3/2022,8/2025,N.A.,{8/2025},724.17 | (N.A.) | {724.17},321.81,,,60,,
62,NH165 FROM KM 0.000 TO KM 64.020 PAMARRU TO AKIVEEDU SECTION TO TWO LANE WITH PAVED SHOULDERS (MoRTH) (N24001939),3/2020,9/2023,N.A.,{12/2025},529.24 | (N.A.) | {529.24},292.35,,,44.16,,
63,2LPS FROM KM36.400 TO KM. 107.224 OF NH167BG FROM DUTTALUR TO KAVALI SECTION (MoRTH) (N24001942),3/2021,7/2024,N.A.,{7/2024},423.67 | (N.A.) | {423.67},228.15,,,58,,
64,NH167B FROM KM 99.103 CS PURAM TO KM 143.320 MALAKONDA TO 2LPS (MoRTH) (N24001949),12/2021,3/2024,N.A.,{12/2025},277.30 | (N.A.) | {277.30},152.32,,,73.78,,
65,NH167B FROM KM.143.320 MALAKONDA TO 189.050 SINGARAYAKONDA ON NH 16 TO TWO LANE WITH PAVED SHOULDERS (MoRTH) (N24001950),3/2021,2/2025,N.A.,{2/2025},369.81 | (N.A.) | {369.81},236.30,,,78.38,,
66,NH167AD FROM MACHERLA TO DACHEPALLI FROM KM.0.000 TO 43.659 TO 2LPS (MoRTH) (N24001951),1/2022,1/2025,N.A.,{1/2025},403.22 | (N.A.) | {403.22},262.08,,,71,,
67,NH 167 B KADAPA NELLORE BORDER TO CSPURAM I.E. FROM KM 58.635 TO KM 99.409 (MoRTH) (N24001952),3/2022,8/2025,N.A.,{8/2025},285.50 | (N.A.) | {285.50},98.83,,,44.46,,
68,NH-30-BHADRACHALAM TO KONTA SECTION 2LPS (MoRTH) (N24001953),12/2021,9/2024,N.A.,{9/2024},388.71 | (N.A.) | {388.71},172.26,,,63.84,,
69,WIDENING TO 2LPS OF RAMPACHODAVARAM - KOYYURU SECTION OF NH516E FROM KM.43.700 TO KM 113.820 (MoRTH) (N24001954),3/2022,1/2025,N.A.,{1/2025},568.12 | (N.A.) | {568.12},287.91,,,76,,
70,GUDIWADA TOWN 2 LANE ROB AND ROAD IMPROVEMENT OF NH165 IN REPLACEMENT OF LC NO 3ESPL3 AT KM 231.700 (MoRTH) (N24001955),3/2022,5/2025,N.A.,{5/2025},317.22 | (N.A.) | {317.22},126.88,,,40,,
71,2LPS FROM GONDIGUDA TO ARAKU BHALLAGUDA KM 27.480 TO KM 51.772 SECTION OF NH 516E (MoRTH) (N24001956),8/2020,9/2023,N.A.,{12/2024},296.66 | (N.A.) | {296.66},216.41,,,79,,
72,2LPS OF KOYYURU TO CHAPRATHIPALEM SECTION OF NH 516E (MoRTH) (N24001957),8/2020,7/2024,N.A.,{7/2024},349.29 | (N.A.) | {349.29},138.22,,,49,,
73,2LPS OF CHAPRATHIPALEM TO LAMBASINGI SECTION OF NH 516E (MoRTH) (N24001958),8/2020,10/2024,N.A.,{10/2024},311.22 | (N.A.) | {311.22},100.84,,,40,,
74,4 LANE FROM KM 56.400 TO KM 120.300 FROM B.KOTHAPALLI JUNCTION TO GORANTLA OF NH 716G (MoRTH) (N24001959),3/2022,9/2025,N.A.,{9/2025},839.98 | (N.A.) | {839.98},204.69,,,30.99,,
75,4L GREENFIELD ROAD CONNECTING NORTH AND SOUTH INDUSTRIAL CLUSTER OF KHANDALERU CREEK NEAR KRISHNAPAT (NHAI) (N24001979),8/2022,9/2025,N.A.,{9/2025},609.43 | (N.A.) | {609.43},25.24,,,18.97,,
76,4 LANING OF NH 544D FROM EXISTING KM 346.300 OF NH 44 (DESIGN CHAINAGE KM 0.000) TO KM 39.380 (DESIG (NHAI) (N24001980),10/2022,7/2025,N.A.,{7/2025},907.76 | (N.A.) | {907.76},226.82,,,42.63,,
77,CONSTRUCTION OF SIX LANING OF NAIDUPETA JUNCTION - TURPUKANUPUR SECTION FROM KM.57+046 TO KM.91+927 (NHAI) (N24001981),7/2022,10/2025,N.A.,{10/2025},"1,398.84 | (N.A.) | {1,398.84}",58.68,,,5.13,,
78,4L PS FROM KURNOOL (EXISTING KM. 5.400 OF NH-40/DESIGN KM.0.000) TO MANDLEM (EXISTING KM.38.000/DESI (NHAI) (N24001982),3/2023,10/2025,N.A.,{10/2025},827.39 | (N.A.) | {827.39},242.60,,,63.01,,
79,4 LANING FROM EXISTING KM 39.380 (DESIGN CH. 37.000) TO KM 74.450 (DESIGN CH. 69.000) OF MUCHUKOTA ? (NHAI) (N24001983),10/2022,8/2025,N.A.,{8/2025},"972.63 | (N.A.) | {1,055.23}",181.56,,,32.69,,
80,4L PS FROM MANDLEM (EXISTING KM. 38.000/DESIGN KM.30.600) TO ATMAKUR (EXISTING KM.73.000/DESIGN KM 6 (NHAI) (N24001984),3/2023,10/2025,N.A.,{10/2025},887.28 | (N.A.) | {887.28},107.91,,,21.37,,
