Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Original Cost in Rs. Crore,Date of Commissioning Original (MM/YYYY),Cumulative Expenditure in Rs. Crore
AND HIGHWAYS,53,CONSTRUCTION OF BRIDGE INCLUDING APPROACHES ACROSS RIVER ZUARI ON NH-17 (NH- 66) ON PANJIM-MANGALORE,MoRTH,N24000444,GOA,936.40,N.A.,770.90
AND HIGHWAYS,54,WIDENING TO 4/6/8 LANES OF EXISTING NH-17 FROM KM 522/615 (NEAR GMC) TO KM 530/850 JOINING NEW ZUIAR,MoRTH,N24000516,GOA,819.95,N.A.,504.65
AND HIGHWAYS,55,REHABILITATION AND UPGRADATION OF EXISTING NH-565 FROM KM.86.057 TO 133.922 OF NAGARJUNASAGAR DAM T,MoRTH,N24000282,ANDHRA PRADESH,195.45,11/2014,294.47
AND HIGHWAYS,56,"FOUR LANING OF EXISTING 2 LANE SECTION FROM MALOUT (DESIGN KM 44.500, EXISTING KM 80.200 OF NH-07) V",NHAI,N24001514,PUNJAB,"1,060.29",01/2024,975.55
AND HIGHWAYS,57,SHRIRAMPUR (KM. 0.000) TO KOCHUGAON (KM. 30.000) OF BIJNI TO ASSAM./WEST BENGAL BORDER SECTION OF NH,NHAI,N24001549,ASSAM,442.23,04/2020,647.30
AND HIGHWAYS,58,4L OF MALOUT-MANDI DABWALI SECTION PKG-01 DANEWALA AT KM 7.000 TO MANDI DABWALI AT KM 29.500 OF NH-0,NHAI,N24001645,PUNJAB,366.85,06/2023,276.34
AND HIGHWAYS,59,SIX LANNING OF MANDI DABWALI (PUNJAB/HARYANA BORDER)- CHAUTALA ROAD SECTION FROM PROPOSED MANDI DABW,NHAI,N24001672,HARYANA,864.27,01/2024,787.78
AND HIGHWAYS,60,CONSTRUCTION OF 4 LANE BANGALORE -CHENNAI EXPRESSWAY FROM KM 53.500 TO KM 71.000 SECTION OF NE-7 (BA,NHAI,N24001685,KARNATAKA,"1,069.00",01/2024,840.40
AND HIGHWAYS,61,CONSTRUCTION OF 4 LANE BANGALORE-CHENNAI EXPRESSWAY FROM KM 0.000 TO KM 26.400 NE- 7(ALONG WITH 0.700,NHAI,N24001688,KARNATAKA,"3,184.00",09/2023,"1,165.00"
AND HIGHWAYS,62,CONSTRUCTION OF 4 LANE BANGALORE - CHENNAI EXPRESSWAY FROM KM 26.400 TO KM 53.500 SECTION OF NE-7 (M,NHAI,N24001689,KARNATAKA,"1,745.00",09/2023,"1,252.90"
AND HIGHWAYS,,Total,,,,"37,744.85",,"34,835.83"
